学科/学年,0.00-0.24,0.25-0.49,0.50-0.74,0.75-0.99,1.00-1.24,1.25-1.49,1.50-1.74,1.75-1.99,2.00-2.24,2.25-2.49,2.50-2.74,2.75-2.99,3.00-3.24,3.25-3.49,3.50-3.74,3.75-3.99,4.00-4.24,4.25-4.49,4.50-4.74,4.75-5.00
数理科学科 1回生,2,2,,,2,3,6,5,5,10,10,9,13,13,11,7,6,4,2,
数理科学科 2回生,1,2,2,1,1,5,3,5,4,5,12,12,8,15,13,3,5,,1,1
数理科学科 3回生,4,,2,1,1,4,,3,7,4,7,10,12,10,8,8,8,1,,1
数理科学科 4回生,27,,3,,1,2,6,2,8,6,3,4,8,,5,2,5,2,1,8
物理科学科 1回生,2,,1,3,2,,2,2,4,5,8,10,13,14,10,13,7,1,3,1
物理科学科 2回生,4,,,,3,6,8,1,7,5,9,7,7,4,8,6,5,2,2,
物理科学科 3回生,3,3,1,1,3,1,5,3,5,4,11,9,14,10,6,2,2,,1,2
物理科学科 4回生,15,,6,,3,,3,5,6,3,8,2,7,6,2,,9,2,2,7
電気電子工学科 1回生,7,5,3,5,9,5,10,10,13,16,22,21,18,17,16,8,11,4,2
電気電子工学科 2回生,3,,1,1,3,7,10,7,10,15,10,13,20,15,18,7,4,5,4,4
電気電子工学科 3回生,6,1,3,1,5,3,5,10,15,17,16,17,17,19,16,18,11,9,3,4
電気電子工学科 4回生,32,,,1,2,6,2,10,15,9,3,9,20,9,9,5,13,3,3,3
電子情報工学科 1回生,2,,,,1,2,5,6,6,9,11,19,20,13,16,9,5,,,
電子情報工学科 2回生,5,3,3,,2,3,5,5,6,7,12,14,14,10,7,3,6,2,4,1
電子情報工学科 3回生,3,,2,2,1,2,2,2,9,11,10,12,15,8,6,5,5,3,6,2
電子情報工学科 4回生,35,1,,1,1,1,6,3,4,2,4,6,15,6,8,2,8,,4,
機械工学科 1回生,2,2,1,1,3,3,5,6,7,15,19,25,19,21,20,22,9,2,1
機械工学科 2回生,6,,,2,6,6,5,6,14,16,18,16,22,19,11,9,11,1,,
機械工学科 3回生,5,,2,2,3,2,11,5,8,16,14,28,28,18,22,18,10,5,2,2
機械工学科 4回生,60,,9,1,2,3,8,8,16,9,13,1,11,5,8,3,13,2,2,12
ロボティクス学科 1回生,3,2,,3,5,,3,2,2,4,5,11,12,10,9,5,4,3,1
ロボティクス学科 2回生,3,,,,4,1,3,,8,4,8,9,11,12,10,8,7,2,1
ロボティクス学科 3回生,4,,2,,4,2,3,1,5,9,14,7,20,11,16,7,10,2,2,
ロボティクス学科 4回生,29,,2,,1,2,3,2,5,4,5,5,8,3,1,1,8,,3,3
環境都市工学科 1回生,3,,1,2,2,2,5,10,8,16,14,15,22,23,18,18,13,10,1
環境都市工学科 2回生,2,2,1,1,3,5,4,3,6,11,11,12,13,20,18,23,13,4,5,2
環境都市工学科 3回生,4,2,1,1,2,3,2,6,4,12,20,13,20,30,25,19,19,10,6,1
環境都市工学科 4回生,32,2,2,,1,3,6,4,17,10,8,4,18,4,8,5,21,7,3,14
建築都市デザイン学科 1回生,,,,1,,,3,1,1,6,9,3,10,13,16,8,4,1
建築都市デザイン学科 2回生,1,,,1,2,5,2,4,5,6,6,8,7,7,6,5,16,7,1,1
建築都市デザイン学科 3回生,5,,,,3,1,3,3,4,5,10,13,14,14,16,10,9,3,,
建築都市デザイン学科 4回生,37,,1,1,,6,8,4,11,6,6,2,5,3,5,2,4,,,
